ID	CODE	NAME
163	VA	ПАПСКИЙ ПРЕСТОЛ(ГОС.-ГОРОД ВАТИКАН)
164	PG	ПАПУА НОВАЯ ГВИНЕЯ
165	PY	ПАРАГВАЙ
166	PE	ПЕРУ
167	PN	ПИТКЕРН
168	PL	ПОЛЬША
169	PT	ПОРТУГАЛИЯ
170	PR	ПУЭРТО-РИКО
171	RE	РЕЮНЬОН
172	RU	РОССИЯ
173	RW	РУАНДА
174	RO	РУМЫНИЯ
175	WS	САМОА
176	SM	САН-МАРИНО
177	ST	САН-ТОМЕ И ПРИНСИПИ
178	SA	САУДОВСКАЯ АРАВИЯ
179	SH	СВ.ЕЛЕНА,О.ВОЗНЕС.,ТРИСТАН-ДА-КУНЬЯ
180	MK	СЕВЕРНАЯ МАКЕДОНИЯ
181	MP	СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
182	SC	СЕЙШЕЛЫ
183	BL	СЕН-БАРТЕЛЕМИ
184	MF	СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ)
185	SX	СЕН-МАРТЕН(НИДЕРЛАНДСКАЯ ЧАСТЬ)
186	SN	СЕНЕГАЛ
187	VC	СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
188	KN	СЕНТ-КИТС И НЕВИС
189	LC	СЕНТ-ЛЮСИЯ
190	PM	СЕНТ-ПЬЕР И МИКЕЛОН
191	RS	СЕРБИЯ
192	SG	СИНГАПУР
193	SY	СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
194	SK	СЛОВАКИЯ
195	SI	СЛОВЕНИЯ
196	GB	СОЕДИНЕННОЕ КОРОЛЕВСТВО
197	US	СОЕДИНЕННЫЕ ШТАТЫ
198	SB	СОЛОМОНОВЫ ОСТРОВА
199	SO	СОМАЛИ
200	EU	СТРАНЫ ЕС
201	SD	СУДАН
202	SR	СУРИНАМ
203	SL	СЬЕРРА-ЛЕОНЕ
204	TJ	ТАДЖИКИСТАН
205	TH	ТАИЛАНД
206	TW	ТАЙВАНЬ (КИТАЙ)
207	TZ	ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА
208	TL	ТИМОР-ЛЕСТЕ
209	TG	ТОГО
210	TK	ТОКЕЛАУ
211	TO	ТОНГА
212	TT	ТРИНИДАД И ТОБАГО
213	TV	ТУВАЛУ
214	TN	ТУНИС
215	TM	ТУРКМЕНИСТАН
216	TR	ТУРЦИЯ
217	UG	УГАНДА
218	UZ	УЗБЕКИСТАН
219	UA	УКРАИНА
220	WF	УОЛЛИС И ФУТУНА
221	UY	УРУГВАЙ
222	FO	ФАРЕРСКИЕ ОСТРОВА
223	FJ	ФИДЖИ
224	PH	ФИЛИППИНЫ
225	FI	ФИНЛЯНДИЯ
226	FK	ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
227	FR	ФРАНЦИЯ
228	GF	ФРАНЦУЗСКАЯ ГВИАНА
229	PF	ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
230	TF	ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
231	HR	ХОРВАТИЯ
232	CF	ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
233	TD	ЧАД
234	ME	ЧЕРНОГОРИЯ
235	CZ	ЧЕХИЯ
236	CL	ЧИЛИ
237	CH	ШВЕЙЦАРИЯ
238	SE	ШВЕЦИЯ
